ICAO_Code	Wingspan	Length	Tail	Width															
KODI	13.7	10.4	4.7	4.0															
L29B	16.6	18.4	6.2	3.9															
L5	10.4	7.3	2.4	2.5															
L8	10.7	6.1	1.9	2.2															
LA4	11.6	7.6	2.8	4.5															
LJ23	10.9	13.2	3.8	3.1															
LJ24	10.9	13.2	3.7	2.9															
LJ25	10.9	14.5	3.7	2.9															
LJ31	13.4	14.8	3.7	2.9															
LJ35	12.0	14.8	3.7	3.4															
LJ40	14.6	16.9	4.3	3.4															
LJ45	14.6	17.7	4.3	3.4															
LJ55	13.4	16.8	4.5	3.4															
LJ60	13.4	17.9	4.5	3.4															
LJ70	15.5	17.1	4.3	3.4															
LJ75	15.5	17.7	4.3	3.4															
LNC4	9.9	7.6	2.4	2.4															
LNP4	9.9	7.6	2.4	2.3															
M20P	11.0	8.2	2.5	2.8															
M20T	11.0	8.2	2.5	2.8															
M5	9.4	7.2	1.9	2.3															
MD11	52.0	61.6	17.9	12.6															
MD81	32.9	45.0	9.2	6.2															
MD82	32.9	45.0	9.2	6.2															
MD83	32.9	45.0	9.2	6.2															
MD87	32.9	39.7	9.5	6.2															
MD88	32.9	45.0	9.2	6.2															
MD90	32.9	46.5	9.5	6.2															
MU2	11.9	12.0	4.2	2.1															
MU30	13.3	14.8	4.2	3.5															
NAVI	10.2	8.4	2.7	2.9															
P180	14.0	14.4	4.0	5.8															
P210	11.8	8.6	3.0	2.8															
P28A	10.7	7.3	2.2	3.2															
P28B	10.7	7.5	2.2	3.2															
P28R	10.8	7.5	2.4	3.4															
P28T	10.8	7.5	2.4	3.4															
P3	30.4	35.4	10.3	10.4															
P32R	11.0	8.4	2.6	3.4															
P32T	11.0	8.4	2.4	3.4															
P46T	13.1	9.0	3.4	3.7															
P51	11.3	9.8	4.1	3.7															
P68	12.0	9.5	3.4	3.7															
P750	12.8	11.8	4.1	4.0															
P8	37.7	39.5	12.8	6.7															
PA11	10.8	7.3	2.0	2.1															
PA12	10.8	6.9	2.1	2.1															
PA16	8.9	6.1	1.9	2.1															
PA18	10.8	6.9	2.0	1.8															
PA20	8.9	6.2	2.5	2.0															
PA22	8.9	6.2	2.5	2.4															
PA23	11.3	8.4	3.1	3.8															
PA24	11.0	7.6	2.3	3.1															
PA25	11.0	7.6	2.2	2.3															
PA27	11.3	9.5	3.1	4.0															
PA30	11.2	7.7	2.5	3.0															
PA31	12.4	9.9	4.0	4.2															
PA32	11.0	8.4	2.6	3.4															
PA34	11.9	8.7	3.0	3.4															
PA36	11.8	8.4	2.3	2.7															
PA38	10.4	7.0	2.8	3.6															
PA44	11.8	8.4	2.6	3.2															
PA46	13.1	8.8	3.4	3.7															
PAT4	13.0	10.6	3.9	4.4															
PAY1	13.0	10.6	3.9	4.7															
PAY2	13.0	10.6	3.9	4.7															
PAY3	14.5	13.2	4.5	5.7															
PAY4	14.5	13.2	5.2	5.7															
PC12	16.2	14.4	4.3	4.6															
PC24	17.0	16.9	5.4	4.9															
PRM1	13.6	14.0	4.7	2.8															
R721	32.9	40.6	10.5	8.2															
R722	32.9	46.7	10.6	8.2															
RJ1H	26.3	31.0	8.6	5.8															
RJ85	26.3	28.6	8.6	5.8															
RV12	8.2	6.1	2.5	2.1															
S108	10.3	7.5	9.1	2.4															
S22T	11.7	7.9	2.7	3.8															
SB20	24.8	27.3	7.7	8.9															
SBR1	13.6	14.3	4.9	2.3															
SBR2	13.6	14.3	4.9	2.4															
SC7	19.8	12.6	4.6	4.3															
SF34	22.7	19.7	7.0	7.3															
SF50	11.8	9.4	3.3	3.9															
SH33	22.8	17.7	5.0	5.0															
SH36	22.8	21.6	7.0	5.0															
SR20	11.7	7.9	2.8	3.4															
SR22	11.7	7.9	2.7	3.6															
SU95	27.8	29.9	10.3	6.8															
SW3	14.1	12.9	5.1	5.0															
SW4	17.4	18.1	5.1	6.2															
T210	11.8	8.6	3.0	2.7															
T28	12.2	10.1	3.9	4.1															
T34P	10.1	8.7	2.9	3.5															
T38	7.7	14.1	3.9	3.4															
T6	12.8	8.8	3.6	2.8															
TAYB	11.0	6.7	2.1	2.3															
TB20	10.0	7.7	2.9	2.5															
TBM7	12.7	10.6	4.4	3.9															
TBM8	12.7	10.6	4.4	3.9															
TBM9	12.8	10.7	4.4	3.9															
TEX2	10.2	10.1	3.3	3.0															
TOBA	10.0	7.7	3.0	2.6															
V22	14.0	19.2	6.7	4.9															
WW24	13.7	15.9	4.8	3.7															
